name,latitude,longitude
Harvard University,42.387085,-71.1184042
Stanford University,52.4658838,13.2897503
Massachusetts Institute of Technology,42.3601,-71.0942
University of Cambridge,52.2053,0.1218
University of Oxford,51.752546,-1.21433
"University of California, Berkeley",37.8754996,-122.2390685
Princeton University,40.3453977,-74.6149223
Columbia University,40.8176657,-73.9585144
California Institute of Technology,34.1377,-118.1253
University of Chicago,41.868201,-87.6758589
Yale University,49.171405,-121.9523444
University of Tokyo,35.7197112,139.7374243
University of Pennsylvania,40.8025835,-77.8559383
Cornell University,42.4451049,-76.4843519
"University of California, Los Angeles",34.0689,-118.4452
Johns Hopkins University,39.3302022,-76.6218536
University of Toronto,43.663462,-79.3977597
"University of Michigan, Ann Arbor",42.278,-83.7382
University of Washington - Seattle,47.6498198,-122.3038271
"University of California, San Diego",32.8780878,-117.2252034
University College London,51.5052366,-0.1115945
"University of California, San Francisco",37.7624,-122.4579
Northwestern University,41.895442,-87.618245
Duke University,35.9989261,-78.9322328
New York University,40.6542908,-73.9455898
Kyoto University,35.0309515,135.7849629
University of Wisconsin Madison,43.0766,-89.4125
ETH Zurich,47.4083275,8.507564
Sorbonne University,48.8506866,2.3399417
Imperial College London,51.5151286,-0.2242588
University of Texas at Austin,30.2849,-97.7341
University of Illinois at Urbana Champaign,40.102,-88.2272
University of North Carolina at Chapel Hill,35.9049,-79.0469
University of Edinburgh,55.9499787,-3.1807595
University of Minnesota Twin Cities,44.9863392,-93.1794558
Washington University in St. Louis,38.6488,-90.3108
McGill University,45.4318428,-73.9452864
University of British Columbia,49.9421752,-119.3990282
University of Copenhagen,55.7003305,12.5588664
Ohio State University,40.6170714,-80.5774826
Rutgers University-New Brunswick,40.5008,-74.4474
"University of California, Davis",38.5382,-121.7617
Pennsylvania State University,40.8025835,-77.8559383
University of Manchester,53.4444696,-2.2138862
Weizmann Institute of Science,31.9078,34.8133
Heidelberg University,49.4109,8.7069
"University of Maryland, College Park",38.9869,-76.9426
