index,Year,Location,Area,Rainfall,Temperature,Soil type,Irrigation,yeild,Humidity,Crops,price,Season
0,2004,Mangalore,1279,2903.1,25.528633986928103,Alluvial,Drip,2570.0,57.0,Coconut,200000,Kharif
1,2004,Mangalore,13283,2903.1,25.528633986928103,Alluvial,Drip,27170.0,57.5,Coconut,4847,Kharif
2,2004,Mangalore,52119,2903.1,25.528633986928103,Alluvial,Drip,114744.0,57.0,Coconut,51239,Kharif
3,2004,Mangalore,725,2996.6,25.528633986928103,Alluvial,Drip,1402.0,55.0,Coconut,216396,Kharif
4,2004,Mangalore,12885,2996.6,25.528633986928103,Alluvial,Drip,23456.0,56.0,Coconut,2644,Kharif
5,2004,Mangalore,51179,2996.6,25.528633986928103,Alluvial,Drip,107809.0,54.0,Coconut,44235,Kharif
6,2004,Mangalore,468,3522.8,25.528633986928103,Alluvial,Drip,1132.0,58.0,Coconut,203317,Kharif
7,2004,Mangalore,11841,3522.8,25.528633986928103,Alluvial,Drip,23960.0,58.0,Coconut,2134,Kharif
8,2004,Mangalore,50975,3522.8,25.528633986928103,Alluvial,Drip,126487.0,59.0,Coconut,45186,Kharif
9,2004,Mangalore,206,3729.8,25.528633986928103,Alluvial,Drip,804.0,50.0,Coconut,238542,Kharif
10,2004,Mangalore,10922,3729.8,25.528633986928103,Alluvial,Drip,30362.0,54.0,Coconut,1516,Kharif
11,2004,Mangalore,51390,3729.8,25.528633986928103,Alluvial,Drip,124492.0,53.0,Coconut,57259,Kharif
12,2004,Mangalore,177,2746.2,25.528633986928103,Alluvial,Drip,792.0,52.0,Coconut,234779,Kharif
13,2004,Mangalore,10723,2746.2,25.528633986928103,Alluvial,Drip,34153.0,51.0,Coconut,1493,Kharif
14,2004,Kodagu,51709,2746.2,15.161470588235291,Alluvial,Drip,132551.0,57.0,Coconut,64409,Kharif
15,2004,Kodagu,146,3360.0,15.161470588235291,Alluvial,Drip,338.0,57.0,Coconut,249978,Kharif
16,2004,Kodagu,10910,3360.0,15.161470588235291,Alluvial,Drip,22966.0,60.0,Coconut,637,Kharif
17,2004,Kodagu,51355,3360.0,15.161470588235291,Alluvial,Drip,131763.0,57.0,Coconut,43311,Kharif
18,2004,Kodagu,160,3605.4,15.161470588235291,Alluvial,Drip,404.0,57.0,Coconut,24848,Kharif
19,2004,Kodagu,10912,3605.4,15.161470588235291,Alluvial,Drip,24184.0,54.0,Coconut,761,Kharif
